player_name,grade
Miles Sanders,6.3
Darrell Henderson,6.2
Rodney Anderson,6.1
Bryce Love,6.1
Devin Singletary,6.1
Alex Barnes,5.9
Karan Higdon,5.9
Elijah Holyfield,5.9
Jalin Moore,5.9
LJ Scott,5.9
Benny Snell,5.8
Kerrith Whyte,5.8
Chandler Cox,5.6
Khari Blasingame,5.5
Nick Brossette,5.4
Taiwan Deal,5.4
Darrin Hall,5.4
Ty Johnson,5.4
Craig Reynolds,5.4
Lexington Thomas,5.4
Xavier Turner,5.4
Aeris Williams,5.4
Cullen Gillaspia,5.1
Jacques Patrick,4.9
DK Metcalf,6.8
A.J. Brown,6.7
Deebo Samuel Sr.,6.4
Riley Ridley,6.3
Miles Boykin,6.2
Emanuel Hall,6.2
Jalen Hurd,6.2
KeeSean Johnson,6.2
Preston Williams,6.2
Kelvin Harmon,6.1
Anthony Johnson,6.1
Stanley Morgan,6.1
Tyre Brady,5.9
Keelan Doss,5.9
Bisi Johnson,5.9
David Sills,5.9
Antoine Wesley,5.9
Penny Hart,5.8
Olamide Zaccheaus,5.8
Terry Godwin,5.6
Jon'Vea Johnson,5.6
Anthony Ratliff-Williams,5.6
Jeff Smith,5.6
Reggie White Jr.,5.6
Jakobi Meyers,5.5
Justin Sumpter,5.5
Emmanuel Butler,5.4
Johnnie Dixon,5.4
Ashton Dulin,5.4
Marcus Green,5.4
Trenton Irwin,5.4
Tyron Johnson,5.4
Jason Moore,5.4
Jamarius Way,5.4
Corey Holmes,5.1
T.J. Hockenson,6.8
Irv Smith,6.4
Dawson Knox,6.2
Isaac Nauta,6.1
Drew Sample,6.1
Alize Mack,5.9
Trevon Wesco,5.9
Andrew Beck,5.6
Dax Raymond,5.6
Kendall Blanton,5.4
Zach Gentry,5.4
David Lucero,5.4
Isaiah Searight,5.4
Jerome Washington,5.1
Joe Burrow,7.07
Justin Herbert,6.45
Jacob Eason,6.25
Jalen Hurts,6.14
Nate Stanley,5.93
Jake Luton,5.68
Case Cookus,5.6
Tyler Huntley,5.53
Bryce Perkins,5.5
Steven Montez,5.48
Brian Lewerke,5.45
Kelly Bryant,5.4
Mason Fine,5.4
Cole McDonald,5.4
Nathan Rourke,5.4
Nick Tiano,5.18
D'Andre Swift,6.78
Cam Akers,6.39
J.K. Dobbins,6.38
Darrynton Evans,6.18
Eno Benjamin,6.12
Rico Dowdle,5.99
Anthony McFarland,5.98
Javon Leake,5.92
Raymond Calais,5.9
Scottie Phillips,5.89
Jason Huntley,5.68
Dre Brown,5.64
Mike Warren,5.64
Benny LeMay,5.62
Artavis Pierce,5.6
Ty'Son Williams,5.57
Reggie Corbin,5.52
Salvon Ahmed,5.5
Adrian Killins Jr.,5.44
Xavier Jones,5.41
Tony Jones,5.4
Devwah Whaley,5.1
CeeDee Lamb,6.81
Henry Ruggs III,6.72
Brandon Aiyuk,6.38
Tee Higgins,6.37
Laviska Shenault Jr.,6.35
KJ Hamler,6.33
Chase Claypool,6.32
Lynn Bowden,6.24
Antonio Gibson,6.16
Antonio Gandy-Golden,6.13
Devin Duvernay,6.0
Quintez Cephus,5.99
Tyler Johnson,5.99
Collin Johnson,5.95
Donovan Peoples-Jones,5.94
Kendall Hinton,5.91
Joe Reed,5.89
Tyler Simmons,5.85
Marquez Callaway,5.83
Darnell Mooney,5.8
Tony Brown,5.69
Juwan Johnson,5.68
Austin Mack,5.66
Dezmon Patmon,5.64
Caleb Repp,5.61
Josh Pearson,5.6
Will Hastings,5.56
K.J. Osborn,5.53
Mathew Sexton,5.5
J.J. Koski,5.45
John Hurst,5.44
Devin Gentry,5.4
Jauan Jennings,5.4
Malcolm Perry,5.4
Darrell Stewart,5.4
Dalton Schoen,5.19
Chris Rowland,5.16
Cole Kmet,6.34
Adam Trautman,6.27
Colby Parkinson,6.13
Albert Okwuegbunam,6.0
Dalton Keene,5.95
Jared Pinkney,5.91
Thaddeus Moss,5.8
Joey Magnifico,5.64
Noah Togiai,5.64
Tyler Davis,5.6
Chase Harrell,5.5
C.J. O'Grady,5.49
Jack Freudenthal,5.45
Jacob Breeland,5.4
Nate Wieting,5.4
Parker Houston,5.14
Trevor Lawrence,7.4
Trey Lance,6.47
Mac Jones,6.33
Davis Mills,6.14
Sam Ehlinger,5.88
Ian Book,5.69
Peyton Ramsey,5.56
Brady White,5.43
Travis Etienne,6.71
Javonte Williams,6.4
Trey Sermon,6.18
Rhamondre Stevenson,6.13
Larry Rountree III,6.0
Javian Hawkins,5.98
Jaret Patterson,5.98
Kylin Hill,5.88
Deon Jackson,5.84
Brenden Knox,5.8
Spencer Brown,5.68
Elijah Mitchell,5.64
Shakif Seymour,5.61
Gary Brightwell,5.6
Caleb Huntley,5.6
Stevie Scott,5.57
Shane Simpson,5.52
Rakeem Boyd,5.5
Greg McCrae,5.48
Israel Tucker,5.4
DeVonta Smith,7.13
Jaylen Waddle,6.86
Kadarius Toney,6.36
Nico Collins,6.28
Cade Johnson,6.26
Tylan Wallace,6.25
Rondale Moore,6.22
Amon-Ra St. Brown,6.21
Tamorrion Terry,6.15
Austin Watkins Jr.,6.14
Demetric Felton,6.0
Tre Nixon,6.0
Shi Smith,6.0
Frank Darby,5.97
Marquez Stevenson,5.92
Josh Imatorbhebhe,5.87
Ben Skowronek,5.86
Ihmir Smith-Marsette,5.85
Jalen Camp,5.83
Dazz Newsome,5.8
Isaiah McKoy,5.69
Dai'Jean Dixon,5.68
Marlon Williams,5.67
Mike Strachan,5.65
Bailey Gaither,5.61
Tim Jones,5.6
Brandon Smith,5.6
Antonio Nunn,5.58
Khalil McClain,5.57
Branden Mack,5.55
Brennan Eagles,5.53
Jhamon Ausbon,5.5
Osirus Mitchell,5.5
Rico Bussey,5.48
Tarik Black,5.44
Kyle Pitts,7.19
Pat Freiermuth,6.3
Brevin Jordan,5.95
Noah Gray,5.87
Hunter Kampmoyer,5.81
Zach Davidson,5.68
Jack Stoll,5.67
Nick Eubanks,5.62
Luke Farrell,5.6
Artayvious Lynn,5.58
John Bates,5.5
Matt Bushman,5.49
Miller Forristall,5.44
Malik Willis,6.41
Kenny Pickett,6.4
Sam Howell,6.22
Carson Strong,6.0
Dustin Crum,5.68
Bailey Zappe,5.67
Cole Kelley,5.6
Brock Purdy,5.57
Skylar Thompson,5.54
Breece Hall,6.38
Zamir White,6.25
Brian Robinson,6.21
Abram Smith,6.17
Kevin Harris,6.16
Tyler Badie,6.14
Kennedy Brooks,6.11
Rachaad White,5.99
ZaQuandre White,5.98
Snoop Conner,5.97
Jaylen Warren,5.94
Hassan Haskins,5.88
Jerrion Ealy,5.87
Raheem Blackshear,5.8
Shermari Jones,5.66
Malik Davis,5.65
Bryant Koback,5.64
Max Borghi,5.6
Brittain Brown,5.59
Ronnie Rivers,5.58
Jace Jordan,5.57
Greg Bell,5.55
Stephen Carr,5.52
Devin Wynn,5.46
Treylon Burks,6.5
Jameson Williams,6.48
Drake London,6.4
Jahan Dotson,6.25
George Pickens,6.23
John Metchie III,6.18
Montrell Washington,6.18
Alec Pierce,6.16
Calvin Austin III,6.0
Danny Gray,6.0
Josh Johnson,5.97
David Bell,5.95
Velus Jones Jr.,5.93
Bo Melton,5.92
Tre Turner,5.9
Isaiah Weston,5.85
Reggie Roberson Jr.,5.83
Braylon Sanders,5.8
Tanner Conner,5.69
Dareke Young,5.68
Jerreth Sterns,5.67
Kalil Pimpleton,5.62
Dai'Jean Dixon,5.6
Charleston Rambo,5.6
Devon Williams,5.6
Taysir Mack,5.58
Johnny Johnson III,5.56
Slade Bolden,5.55
Trey McBride,6.31
Greg Dulcich,6.24
Charlie Kolar,6.22
Daniel Bellinger,6.16
Jake Ferguson,5.99
Teagan Quitoriano,5.94
Grant Calcaterra,5.9
Chig Okonkwo,5.84
Ko Kieft,5.8
Lucas Krull,5.69
Cole Turner,5.69
Jeremiah Hall,5.67
Brett Borske,5.6
Curtis Hodges,5.6
Jovani Haskins,5.54
Bryce Young,6.82
Anthony Richardson,6.4
Hendon Hooker,6.23
Aidan O'Connell,5.96
Clayton Tune,5.86
Tanner McKee,5.8
Tyson Bagent,5.68
Max Duggan,5.64
Adrian Martinez,5.6
Cephus Johnson III,5.58
Bijan Robinson,6.84
Zach Evans,6.25
De'Von Achane,6.23
Eric Gray,6.22
DeWayne McBride,6.19
Tank Bigsby,6.15
Kendre Miller,5.97
Roschon Johnson,5.92
Keaton Mitchell,5.87
Chris Rodriguez Jr.,5.85
SaRodorick Thompson Jr.,5.82
Travis Dye,5.69
Cam Peoples,5.69
Jordan Mims,5.68
Lew Nichols III,5.67
Titus Swen,5.66
Chris Brooks,5.63
Aidan Borguet,5.61
Tavion Thomas,5.59
Jalin Hyatt,6.5
Josh Downs,6.44
Quentin Johnston,6.39
Jordan Addison,6.36
Tank Dell,6.3
Jonathan Mingo,6.27
Elijah Higgins,6.2
CJ Johnson,6.16
Tre Tucker,6.11
Rashee Rice,6.0
Andrei Iosivas,5.99
Zavier Scott,5.97
Parker Washington,5.95
T.J. Luther,5.91
Dontay Demus Jr.,5.89
Xavier Hutchinson,5.87
Bryce Ford-Wheaton,5.85
Jacob Copeland,5.83
Colton Dowell,5.83
Derius Davis,5.82
Malik Knowles,5.82
Jalen Wayne,5.81
Xavier Gipson,5.8
Puka Nacua,5.8
David Durden,5.69
Michael Jefferson,5.69
Xavier Smith,5.69
Sy Barnett,5.68
Garett Maag,5.67
Jaray Jenkins,5.65
Malik Heath,5.64
Jake Bobo,5.63
Shaquan Davis,5.62
Thyrick Pitts,5.62
Keilahn Harris,5.61
Luke Musgrave,6.49
Michael Mayer,6.44
Luke Schoonmaker,6.36
Brenton Strange,6.21
Josh Whyle,6.14
Cameron Latu,6.1
Zack Kuntz,5.9
Princeton Fant,5.84
Griffin Hebert,5.83
Will Mallory,5.8
Noah Gindorff,5.69
Christian Sims,5.69
Kyle Patterson,5.68
Daniel Barker,5.66
John Stephens Jr.,5.63
Joel Wilson,5.62
E.J. Jenkins,5.6
Dakota Allen,5.59
Caleb Williams,6.74
Drake Maye,6.5
Bo Nix,6.39
Spencer Rattler,5.95
Jordan Travis,5.89
Devin Leary,5.84
Sam Hartman,5.69
Carter Bradley,5.68
Davius Richard,5.64
Austin Reed,5.62
Jack Plummer,5.59
Jonathon Brooks,6.38
Trey Benson,6.23
Tyrone Tracy Jr.,6.18
Will Shipley,6.16
Isaac Guerendo,6.15
Isaiah Davis,5.99
Dylan Laube,5.97
George Holani,5.93
Jase McClellan,5.9
Emani Bailey,5.88
Cody Schrader,5.87
Blake Watson,5.83
Daijun Edwards,5.8
Jawhar Jordan,5.69
Sione Vaki,5.68
Frank Gore Jr.,5.67
Michael Wiley,5.63
Austin Jones,5.54
Malik Nabers,6.86
Rome Odunze,6.74
Ladd McConkey,6.4
Troy Franklin,6.35
Ricky Pearsall,6.32
Xavier Worthy,6.29
Malik Washington,6.26
Keon Coleman,6.25
Jermaine Burton,6.21
Devontez Walker,6.19
Brenden Rice,6.0
Ainias Smith,5.99
Ryan Flournoy,5.96
Luke McCaffrey,5.96
Lideatrick Griffin,5.94
Jamari Thrash,5.91
Bub Means,5.89
Jalen Coker,5.88
Joshua Cephus,5.83
Casey Washington,5.81
David White Jr.,5.8
Carlos Hill,5.68
Jaxon Janke,5.67
Jordan Whittington,5.67
Ahmarean Brown,5.65
Sam Pinckney,5.65
Ramel Keyton,5.62
Je'Quan Burton,5.6
Marcus Rosemy-Jacksaint,5.6
Brock Bowers,6.71
Cade Stover,6.26
Erick All,6.14
AJ Barner,6.1
Dallin Holker,5.96
Jared Wiley,5.95
McCallan Castles,5.89
Devin Culp,5.69
Trey Knox,5.68
Thomas Yassmin,5.68
Jack Westover,5.67
Colson Yankoff,5.66
Mason Pline,5.62
Cameron Ward,6.39
Jaxson Dart,6.17
Quinn Ewers,6.15
Kyle McCord,6.13
Riley Leonard,5.93
Max Brosmer,5.83
Brady Cook,5.8
Seth Henigan,5.66
Ashton Jeanty,7.15
Omarion Hampton,6.35
Quinshon Judkins,6.3
Kaleb Johnson,6.21
Jordan James,6.17
Trevor Etienne,6.15
Jarquez Hunter,6.12
Lan Larison,6.1
Damien Martinez,6.0
Raheim Sanders,5.99
Devin Neal,5.98
RJ Harvey,5.96
Tahj Brooks,5.95
Donovan Edwards,5.85
Kyle Monangai,5.82
Ulysses Bentley IV,5.69
Phil Mafah,5.69
Amar Johnson,5.68
Mario Anderson Jr.,5.65
ShunDerrick Powell,5.6
Travis Hunter,6.89
Matthew Golden,6.42
Emeka Egbuka,6.37
Jayden Higgins,6.33
Isaiah Bond,6.3
Jaylin Noel,6.26
Nick Nash,6.2
Elic Ayomanor,6.19
Dont'E Thornton Jr.,6.18
Savion Williams,6.16
Elijhah Badger,6.11
Tez Johnson,6.0
KeAndre Lambert-Smith,5.98
Tai Felton,5.96
Traeshon Holden,5.89
JP Richardson,5.87
Theo Wease Jr.,5.86
Daniel Jackson,5.85
Tommy Mellott,5.81
Ke'Shawn Williams,5.81
Kobe Hudson,5.8
Jordan Watkins,5.8
Beaux Collins,5.69
Josh Kelly,5.69
Ricky White III,5.69
Bryson Green,5.68
Kaden Prather,5.68
Jacolby George,5.67
Kelly Akharaiyi,5.66
Collin Brunstein,5.66
Darius Cooper,5.65
Tyler Kahmann,5.64
Chandler Brayboy,5.61
Tyler Warren,6.77
Mason Taylor,6.4
Harold Fannin Jr.,6.18
Thomas Fidone II,6.15
Gunnar Helm,6.13
Joshua Simon,6.11
Luke Lachey,5.97
Oronde Gadsden II,5.93
Jalin Conyers,5.89
Gavin Bartholomew,5.8
Keleki Latu,5.68
Ben Yurosek,5.68
Brant Kuithe,5.66
